eCRIS Contract Nbr,IRB Nbr,CRS Study Nbr,Contract Type,Contract Name,Study Sponsor,Master Agreement Flag,Template Agreement Flag,Contract Funding Mechanism,Originating Agency,Preaward Contact,Principal Investigator,Subcontractee,Contract Status,Contract Status Change Dt,Executed Dt,Negotiation Complete Dt,Negotiation Start Dt,Created Dt,Pending SPA Setup Dt,Hold Time,Industrial Acct Nbr,CT.gov Primary Completion Dt,CT.gov Study Completion Dt,OHSU Multicenter Study Flag,Study Type,Award Org Name,Study Phase,Drug - IND,Ongoing Study Flag,Clinical Services Flag,Drug Study Flag,PI Initiated Flag,OHSU PI is Lead PI Flag,IRB Approval Dt,IRB Expiration Dt,Review Category,IRB Status Change Dt,IRB Termination Dt,Cancer Study Flag,IRB Study Submitted Dt,Clinical Trial Flag,Prospective Consent Flag
DR00000295,IRB00009023,CRS00000561,Contract,CCHMC (Jazz) Narcolepsy CTSA OHSU_Super,Jazz Pharmaceuticals Inc,No,No,Contract,,Kristen Baptiste, ,,Withdrawn,2014-12-23 09:41:42,,2014-11-13 16:37:57,2014-07-03 07:00:00,2014-05-19 19:39:39,,0,,,,No,,SM.Peds GenPeds,N/A,No,Yes,No,No,No,No,2013-05-22 07:00:00,2018-04-18 07:00:00,Expedited,2016-05-18 22:35:00,,No,2012-10-15 07:51:14,No,No
DR00000361,IRB00010931,CRS00000978,Contract,Davol Phasix DVL-HE-015 CSA OHSU_ Martindale,Davol Inc,No,No,Contract,,Jennifer Mair, ,,OGA Setup Complete,2014-10-24 03:00:06,2014-10-14 07:00:00,2014-08-20 09:32:30,2014-07-16 07:00:00,2014-07-23 16:56:46,2014-10-15 13:30:22,0,700010931,,,No,Interventional,SM.Surg General,Phase 4,No,No,Yes,No,No,No,2014-09-15 07:00:00,2017-03-13 19:46:00,Expedited,2017-03-13 19:46:00,,No,2014-07-23 08:20:42,Yes,Yes
DR00000051,IRB00010016,CRS00000061,Contract,Covance (Takeda) TOMM40_301 CTA OHSU_Kaye,Takeda Global Research & Development Center Inc,No,No,Contract,,Jennifer Mair, ,,Withdrawn,2014-09-24 07:59:36,,,,2013-10-28 23:29:49,,0,,,,No,Interventional,SM.Neu Aging And Alzheimers,Phase 3,Yes,No,Yes,Yes,No,No,2014-01-09 08:00:00,2015-01-08 08:00:00,Full Board,2014-10-24 15:45:31,2014-10-24 07:00:00,No,2013-11-21 17:16:01,,Yes
DR00000062,,,Confidentiality Agreement,InVivo Therapeutics NDA OHSU_Hamilton,InVivo Therapeutics Corporation,No,No,Contract,,Jennifer Mair,David Hamilton,,CDA Fully Executed,2013-12-13 14:03:45,2013-12-13 22:03:44,2013-12-12 11:10:15,2013-11-18 18:42:00,2013-11-12 19:22:22,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000060,,,Confidentiality Agreement,Theradex AZD6738 CDA OHSU_Spurgeon,Theradex Systems Inc,No,No,Contract,,Jacqueline Brown,Stephen Spurgeon,,Withdrawn,2014-01-06 14:42:48,,,,2013-11-09 00:33:12,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000071,,,Confidentiality Agreement,GSK (PPD) 200722 Preterm Labor Program-Retosiban CDA OHSU_Tolosa,GlaxoSmithKline LLC,No,No,Contract,,Jennifer Mair,Jorge Tolosa,,CDA Fully Executed,2014-06-17 14:51:03,2014-06-17 22:51:02,2014-02-27 15:54:35,2013-11-20 20:27:00,2013-11-20 18:59:01,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000093,IRB00010246,CRS00000087,Contract,Alnylam ALNTTR02004 APOLLO CTA OHSU_Marburger,Alnylam Pharmaceuticals Inc,No,No,Contract,, , ,,Withdrawn,2013-12-11 10:59:19,,,,2013-12-11 18:55:58,,0,100097107,,,No,Interventional,SM.Neu Neuromuscle,Phase 3,Yes,No,Yes,Yes,No,No,2014-01-17 08:00:00,2016-12-17 08:00:00,Full Board,2016-02-19 23:34:46,2016-02-19 08:00:00,No,2013-12-04 13:41:46,,Yes
DR00000114,,,Confidentiality Agreement,Chiltern CIL33364 CDA OHSU_Heinrich,Chiltern International Inc,No,No,Contract,,Jacqueline Brown,Michael Heinrich,,CDA Fully Executed,2014-01-09 15:35:14,2014-01-09 23:35:13,2014-01-02 09:38:59,2013-12-24 22:03:00,2013-12-24 21:07:43,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000132,IRB00010383,CRS00000124,Contract,BMS CA224-022 Study Letter OHSU_Spurgeon,Bristol-Myers Squibb,Yes,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2014-07-18 03:00:03,2014-07-14 20:12:41,2014-05-07 11:54:44,2014-04-22 23:37:00,2014-02-03 18:03:39,2014-07-14 12:12:43,0,100097051,,,No,Interventional,SM.Knight Hematologic Malignancies,Phase 1,Yes,No,Yes,Yes,No,No,2014-03-27 07:00:00,2019-02-12 08:00:00,Full Board,2018-01-27 03:09:00,,Yes,2014-02-03 09:33:36,Yes,Yes
DR00000189,IRB00010521,CRS00000197,Contract,Novartis AIN457F2305E1-5301 CTRF OHSU_Deodhar,Novartis Pharmaceuticals Corporation,Yes,No,Contract,,Jennifer Mair, ,,OGA Setup Complete,2014-09-27 03:00:06,2014-09-15 07:00:00,2014-09-08 09:16:21,,2014-03-10 19:00:36,2014-09-22 14:59:18,0,100096982,,,No,Interventional,SM.ARD Administration,Phase 3,Yes,No,Yes,Yes,No,No,2014-05-06 07:00:00,2018-11-12 08:00:00,Full Board,2017-10-18 23:40:00,,No,2014-03-27 23:21:08,Yes,Yes
