eCRIS Contract Nbr,Contract Type,Workflow State From,State Entry Dt,Workflow State To,State Exit Dt
DR00002587,Amendment,Negotiation In Process,2017-12-02 00:29:18,In External Review,2017-12-02 00:34:45
DR00001296,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000888,Contract,Waiting for OHSU Signatures,2015-10-22 19:17:48,Negotiation In Process,2015-10-28 17:46:32
DR00000510,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001336,Confidentiality Agreement,Waiting for OHSU Signatures,2016-04-12 20:20:06,Waiting for Sponsor Signature,2016-04-14 20:58:41
DR00000242,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001918,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000706,Contract,Waiting for OHSU Signatures,2015-05-26 18:52:59,Waiting for Sponsor Signature,2015-05-27 01:16:46
DR00001392,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000238,Contract,Waiting for OHSU Signatures,2014-07-25 21:53:32,Waiting for Sponsor Signature,2014-07-30 21:23:01
DR00001788,Confidentiality Agreement,Negotiation In Process,2016-10-28 21:46:35,In External Review,2016-10-31 21:33:36
DR00002084,Confidentiality Agreement,Negotiation In Process,2017-04-12 19:22:29,In External Review,2017-04-12 19:26:45
DR00000002,Contract,Negotiation In Process,2013-10-24 21:58:28,In External Review,2013-10-25 22:32:37
DR00001896,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002080,Contract,Negotiation In Process,2017-04-11 21:56:59,In External Review,2017-04-11 21:58:45
DR00000054,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000557,Confidentiality Agreement,Negotiation In Process,2014-12-05 00:59:16,In External Review,2014-12-05 01:02:18
DR00001021,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000557,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002433,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000450,Confidentiality Agreement,Negotiation In Process,2014-09-19 23:14:19,In External Review,2014-09-19 23:15:36
DR00001131,Amendment,Negotiation In Process,2015-11-23 22:33:13,Negotiation Complete,2015-11-23 22:33:18
DR00001166,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002452,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001357,Confidentiality Agreement,Waiting for OHSU Signatures,2016-05-05 17:53:21,Waiting for Sponsor Signature,2016-05-09 16:31:42
DR00002689,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001379,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000870,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002177,Amendment,Negotiation In Process,2017-05-11 19:57:14,Negotiation Complete,2017-05-16 21:29:01
DR00002415,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000281,Contract,Waiting for OHSU Signatures,2014-07-18 17:19:44,Waiting for Sponsor Signature,2014-07-23 21:24:09
DR00001039,Contract,Waiting for OHSU Signatures,2016-01-19 17:25:09,Pending SPA setup,2016-01-25 21:21:54
DR00000473,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000789,Amendment,Waiting for OHSU Signatures,2015-05-26 21:07:38,Waiting for Sponsor Signature,2015-07-02 21:13:54
DR00001826,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001841,Contract,Waiting for OHSU Signatures,2017-02-01 22:39:57,Waiting for Sponsor Signature,2017-03-03 19:37:54
DR00002251,Contract,Waiting for OHSU Signatures,2017-07-19 16:38:32,Waiting for Sponsor Signature,2017-09-07 18:36:21
DR00000154,Confidentiality Agreement,Waiting for OHSU Signatures,2014-03-03 22:31:00,Waiting for Sponsor Signature,2014-03-05 20:09:59
DR00001569,Confidentiality Agreement,Negotiation In Process,2016-07-28 22:44:50,In External Review,2016-07-29 17:31:24
DR00001988,Master Contract,Negotiation In Process,2017-05-08 16:08:51,In External Review,2017-05-08 16:10:16
DR00000082,Contract,Negotiation In Process,2013-12-06 23:57:03,In External Review,2013-12-07 00:01:31
DR00000184,Confidentiality Agreement,Negotiation In Process,2014-03-12 23:25:50,In External Review,2014-03-12 23:27:49
DR00001843,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001989,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002736,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000190,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002647,Amendment,Negotiation In Process,2017-12-22 22:12:01,Negotiation Complete,2017-12-22 22:12:18
DR00002457,Amendment,Waiting for OHSU Signatures,2017-11-01 17:02:47,Waiting for Sponsor Signature,2017-11-01 17:04:37
DR00002162,Subcontract,Negotiation In Process,2017-05-16 17:11:54,Negotiation Complete,2017-05-23 16:44:54
DR00001912,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001641,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001498,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000096,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000801,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000965,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001230,Confidentiality Agreement,Waiting for OHSU Signatures,2016-02-04 18:20:02,CDA Fully Executed,2016-02-04 23:23:52
DR00001156,Contract,Negotiation In Process,2015-12-17 17:25:53,In External Review,2016-02-06 00:46:54
DR00001680,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002139,Amendment,Waiting for OHSU Signatures,2017-06-06 18:14:36,Waiting for Sponsor Signature,2017-06-09 21:35:46
DR00000209,Confidentiality Agreement,Negotiation In Process,2014-04-04 19:20:46,Negotiation Complete,2014-05-07 16:55:10
DR00002270,Amendment,Negotiation In Process,2017-07-24 18:22:43,Negotiation Complete,2017-07-24 18:22:49
DR00000894,Contract,Waiting for OHSU Signatures,2016-07-08 17:40:06,Waiting for Sponsor Signature,2016-11-04 20:11:22
DR00001570,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002463,Amendment,Waiting for OHSU Signatures,2018-03-02 17:53:36,Waiting for Sponsor Signature,2018-03-02 17:55:57
DR00000461,Confidentiality Agreement,Negotiation In Process,2014-09-30 21:59:39,Negotiation Complete,2014-11-19 21:37:24
DR00001272,Contract,Negotiation In Process,2016-04-26 23:02:56,Waiting for IRB Approval of Study,2016-04-26 23:05:37
DR00000134,Confidentiality Agreement,Negotiation In Process,2014-02-04 01:07:02,In External Review,2014-02-05 17:56:00
DR00000560,Contract,In OHSU Review,2015-04-22 21:52:07,Waiting for IRB Approval of Study,2015-04-22 22:00:50
DR00001718,Contract,In OHSU Review,2017-02-24 23:59:21,In External Review,2017-02-28 22:52:07
DR00002719,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001475,Confidentiality Agreement,Negotiation In Process,2016-06-23 16:11:28,In OHSU Review,2016-06-24 20:28:25
DR00001397,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001303,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001046,Confidentiality Agreement,In OHSU Review,2015-11-18 17:05:44,In External Review,2015-11-18 17:12:02
DR00001405,Confidentiality Agreement,In OHSU Review,2016-04-29 16:09:52,In External Review,2016-04-29 16:12:54
DR00000836,Confidentiality Agreement,In OHSU Review,2015-06-10 17:11:35,Negotiation Complete,2015-06-10 17:11:44
DR00002237,Contract,In OHSU Review,2018-03-12 21:51:40,IRB and Budget Approved,2018-03-13 20:06:05
DR00001755,Contract,Negotiation In Process,2016-10-21 20:28:30,In External Review,2016-10-21 20:29:14
DR00001575,Amendment,Negotiation In Process,2016-08-01 19:39:45,In External Review,2016-08-03 23:15:14
DR00002423,Confidentiality Agreement,Negotiation In Process,2017-09-21 01:18:22,In External Review,2017-09-21 01:20:16
DR00000950,Contract,Waiting for OHSU Signatures,2015-11-10 21:53:58,Pending SPA setup,2015-11-11 18:44:11
DR00000371,Confidentiality Agreement,In OHSU Review,2014-09-15 21:30:44,In External Review,2014-09-15 21:47:46
DR00000712,Contract,In OHSU Review,2015-05-18 19:14:11,In External Review,2015-06-04 23:33:43
DR00001731,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001149,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000130,Master Contract,Negotiation In Process,2014-01-31 00:41:31,Negotiation Complete,2014-01-31 00:41:36
DR00001695,Amendment,Waiting for OHSU Signatures,2016-10-11 14:19:43,Waiting for Sponsor Signature,2016-10-24 17:03:44
DR00001697,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000123,Contract,Waiting for Final Budget,2014-02-18 17:49:47,Waiting for OHSU Signatures,2014-02-19 17:53:58
DR00001523,Contract,In OHSU Review,2016-11-17 23:17:16,In External Review,2016-11-22 23:55:31
DR00001630,Confidentiality Agreement,In OHSU Review,2016-08-25 15:14:42,In External Review,2016-08-25 15:15:41
DR00001877,Confidentiality Agreement,In OHSU Review,2017-01-24 20:47:45,In External Review,2017-01-24 20:48:23
DR00000045,Confidentiality Agreement,In OHSU Review,2013-11-14 22:17:29,In External Review,2013-11-14 22:23:26
DR00000808,Confidentiality Agreement,In OHSU Review,2015-06-05 22:15:33,Negotiation Complete,2015-06-05 22:15:43
