Project Organization,Project Organization Name,GL Project Organization Number,Project Owning Department,Project Owning Division,Project Owning Unit,Project Owning Unit Code
CR.Occupational Health Sciences Grants 41599,CR.Occupational Health Sciences Grants,41599,Oregon Institute of Occupational Health Sciences,,Vice President for Research,VPR
SM.Dermatology Admin 62401,SM.Dermatology Admin,62401,Dermatology,,School of Medicine,SOM
SM.Clinical Research Center 68401,SM.Clinical Research Center,68401,GCRC,,School of Medicine,SOM
SM.Gray-Enhanced Omics 69491,SM.Gray-Enhanced Omics,69491,OCSSB,,School of Medicine,SOM
PC.Research Repro 43510,PC.Research Repro,43510,Oregon National Primate Research Center,Reproductive Sciences,Vice President for Research,VPR
SM.Surg Bariatric 66904,SM.Surg Bariatric,66904,Surgery,Bariatric Surgery,School of Medicine,SOM
SM.Knight Hem/Onc CHM 68154,SM.Knight Hem/Onc CHM,68154,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Or Stem Cell Ctr 65732,SM.Or Stem Cell Ctr,65732,Pediatrics,,School of Medicine,SOM
SM.OB/GYN Clinical Research 64508,SM.OB/GYN Clinical Research,64508,Obstetrics & Gynecology,,School of Medicine,SOM
SM.Knight Sarcoma Trial Coordination 68103,SM.Knight Sarcoma Trial Coordination,68103,OHSU Knight Cancer Institute,,School of Medicine,SOM
AC.AHEC Main 21616,AC.AHEC Main,21616,Area Health Education Center,,Provost,PROV
SM.Diag Rad Admin 62701,SM.Diag Rad Admin,62701,Diagnostic Radiology,,School of Medicine,SOM
VI.Kavanaugh 45512,VI.Kavanaugh,45512,Vollum Institute,,Vice President for Research,VPR
VI.Gouaux 45535,VI.Gouaux,45535,Vollum Institute,,Vice President for Research,VPR
SM.KCVI Cardiology 63926,SM.KCVI Cardiology,63926,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.Knight Clin Trial Administration 68101,SM.Knight Clin Trial Administration,68101,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.BME CSLU 69410,SM.BME CSLU,69410,Institute on Development & Disability,,School of Medicine,SOM
SM.Knight Lung Trial Coordination 68106,SM.Knight Lung Trial Coordination,68106,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.GNM Administration 63950,SM.GNM Administration,63950,Medicine,General Internal Medicine,School of Medicine,SOM
HC.Hospital Food Service Retail 35106,HC.Hospital Food Service Retail,35106,Food Service,,OHSU Hospital,HOSP
