eCRIS Contract Nbr,Funding Source Id,Funding Source Name,Funding Source Type,Funding Source Nbr
,ID0000000677,NIAD-PACTG,NIH,
,ID0000004090,Unfunded,Other,
,ID0000001386,Eli Lilly and Co.,Industry,LY170053
,ID00005506,AHRQ - Subcontract via Westat,Other Federal,HHSA290-2010-000021
,ID00003168,Southwest Oncology Group,NIH,
,ID00002263,Unfunded,Other,
,ID0000002551,"Praecis Pharmaceuticals, Inc.",Industry,
,ID0000004936,CDC,Other Federal,RFA-DP-07-002
,ID0000004218,Johnson & Johnson ,Other,
,ID0000001621,"Berlex, Inc",Industry,
,ID00001068,HRSA MCH Research Program,Other Federal,
,ID0000000362,unfunded,,
,ID00000776,Unfunded,Other,
,ID0000001563,Association of Family Medicine Residency Directors,,
,ID0000002214,American Society of Echocardiography,Foundation,06-G-15-ASE
,ID00001637,"Gilead Sciences, Inc",Industry,GS-US-219-0102
,ID0000004213,"University of California, Los Angeles",Other,
,ID00005013,Unfunded,Other,
,ID00005459,NIH,NIH,
,ID0000005520,unfunded,Other,
,ID0000005453,Organon,Industry,A7501021-1002
,ID00000719,Family Planning Fellowship Foundation,Other,
,ID0000002470,NIH,NIH,
,ID00000583,Imclone,Industry,
,ID0000000973,Unfunded,,
,ID0000002500,NSABP (National Surgical Adjuvant Breast and Bowel Project),NIH,
,ID0000005528,OHSU,OHSU,24053
,ID0000002857,NEI,NIH,
,ID00005240,"NIH, OSLER",NIH,TL1
,ID00004590,N.L. Tartar Research Fellowship Award,Foundation,
,00002845,ORDC Center Grant,Foundation,
,ID00005135,NIAAA,NIH,1R01AA020063-01A1
,ID00004438,Boehringer Ingelhiem,Industry,Industry Sponsored Protocol
,ID0000002337,Unfunded,,
,ID00000930,Unfunded,Other,
,ID0000003984,OHSU Medical Research Foundation,Foundation,
,ID00001847,Unfunded,Other,
,ID0000000874,"Immunex Corporation, Amgen Inc.",Other,
,ID0000005422,unfunded,Other,
,ID0000002644,Intermune Inc.,Industry,
,ID00005219,unfunded,Other,
,ID0000001173,Unfunded,,
,ID0000003145,unfunded,,
,ID0000001647,NCI/COG,Other Federal,
,ID00000960,unfunded,Other,
,ID0000002511,NIH,NIH,DK61640
,ID0000004772,Unfunded,Other,
,ID0000000191,sub contract to NIH Grant,NIH,RO1 HL-68926-01
,ID0000003537,Grant,Other,
,ID00005096,Internally Funded,Other,
,ID0000002114,"Genentech, Inc.",Industry,U3384g
,ID00000616,unfunded,Other,
,ID0000004241,None,Other,
,ID00002973,unfunded,Other,
,ID00003744,Unfunded,Other,
,ID0000003283,mo money,Industry,
,ID0000005551,Unfunded,Other,
,ID0000004309,"NIH:National Heart, Lung and Blood Institute",NIH,P50 HL073996
,ID0000004212,National Institute on Drug Abuse,NIH,
,ID00001222,Novartis,Industry,
,ID0000002132,NIH- NCCAM,NIH,#5 R25 AT0 00529-02
,ID0000003982,Unfunded,,
,ID0000000837,Novartis,Industry,
,ID00005004,Unfunded,Other,
,ID00001819,Unfunded,Other,
,ID00000644,NIH,NIH,
,ID0000000240,unfunded,Other,none
,ID00000743,NIH/NEI,NIH,EY11751
,ID0000001273,Bayer Pharmaceuticals,Industry,
,ID00003890,Unfunded,Other,
,ID0000002751,"NIH/NCI, subcontract from Battelle",NIH,RFP No: N01-PC-55009-39
,ID00005388,N/A,Other,
,ID00003378,The Department for Medical Excellence,Foundation,
,ID0000005214,"Novartis Pharmaceuticals, Inc.",Industry,
,ID0000001367,University of Washington Contract,Other,Contract number 564486
,ID00003467,unfunded,OHSU,
,ID00000143,NCI/COG,NIH,
,ID0000001516,Unfunded,,
,ID0000000280,Pfizer,Industry,Protocol No. CTN 97-0339-025
