"","num"
"1",12.149069
"2",13.460619
"3",15.018906
"4",18.179622
"5",18.831531
"6",21.209275
"7",21.096769
"8",20.840725
"9",21.124706
"10",18.169125
"11",18.161031
"12",15.238989
"13",11.996233
"14",10.527758
"15",8.824516
"16",6.972572
"17",6.543127
"18",6.580502
"19",7.573483
"20",7.490444
"21",6.416503
"22",5.031244
"23",3.856575
"24",2.924433
"25",2.666275
"26",3.172114
"27",3.482964
"28",3.44175
"29",2.919583
"30",2.757708
"31",3.752269
"32",4.090189
"33",4.279419
"34",5.665147
"35",3.9632
"36",3.9945
"37",4.218622
"38",3.151969
"39",3.503058
"40",3.176008
"41",1.897121
"42",2.226983
"43",1.698331
"44",1.626543
"45",1.921797
"46",2.420992
"47",3.469097
"48",4.843372
"49",18.97626
"50",31.834333
"51",25.695672
"52",24.237214
"53",18.017764
"54",18.70786
"55",18.268158
"56",17.015614
"57",11.160009
"58",9.733297
"59",9.671897
"60",9.400922
"61",7.418352
"62",7.202866
"63",6.694612
"64",6.216688
"65",5.563932
"66",4.711556
"67",4.542931
"68",5.110308
"69",6.093156
"70",4.636481
"71",4.210489
"72",3.390439
"73",3.918458
"74",4.345938
"75",4.546447
"76",4.212599
"77",2.563594
"78",2.254886
"79",2.50094
"80",2.727559
"81",3.233872
"82",3.625747
"83",4.221795
"84",4.450882
"85",4.046966
"86",4.226011
"87",5.270467
"88",4.557156
"89",4.842074
"90",6.866961
"91",7.765097
"92",7.320822
"93",7.377761
"94",8.561038
"95",8.303519
"96",9.815036
