,num,time,label
1,12.149069,6:00,6:00
2,13.460619,6:15,
3,15.018906,6:30,
4,18.179622,6:45,
5,18.831531,7:00,
6,21.209275,7:15,
7,21.096769,7:30,
8,20.840725,7:45,
9,21.124706,8:00,8:00
10,18.169125,8:15,
11,18.161031,8:30,
12,15.238989,8:45,
13,11.996233,9:00,
14,10.527758,9:15,
15,8.824516,9:30,
16,6.972572,9:45,
17,6.543127,10:00,10:00
18,6.580502,10:15,
19,7.573483,10:30,
20,7.490444,10:45,
21,6.416503,11:00,
22,5.031244,11:15,
23,3.856575,11:30,
24,2.924433,11:45,
25,2.666275,12:00,12:00
26,3.172114,12:15,
27,3.482964,12:30,
28,3.44175,12:45,
29,2.919583,13:00,
30,2.757708,13:15,
31,3.752269,13:30,
32,4.090189,13:45,
33,4.279419,14:00,14:00
34,5.665147,14:15,
35,3.9632,14:30,
36,3.9945,14:45,
37,4.218622,15:00,
38,3.151969,15:15,
39,3.503058,15:30,
40,3.176008,15:45,
41,1.897121,16:00,16:00
42,2.226983,16:15,
43,1.698331,16:30,
44,1.626543,16:45,
45,1.921797,17:00,
46,2.420992,17:15,
47,3.469097,17:30,
48,4.843372,17:45,
49,18.97626,18:00,18:00
50,31.834333,18:15,
51,25.695672,18:30,
52,24.237214,18:45,
53,18.017764,19:00,
54,18.70786,19:15,
55,18.268158,19:30,
56,17.015614,19:45,
57,11.160009,20:00,20:00
58,9.733297,20:15,
59,9.671897,20:30,
60,9.400922,20:45,
61,7.418352,21:00,
62,7.202866,21:15,
63,6.694612,21:30,
64,6.216688,21:45,
65,5.563932,22:00,22:00
66,4.711556,22:15,
67,4.542931,22:30,
68,5.110308,22:45,
69,6.093156,23:00,
70,4.636481,23:15,
71,4.210489,23:30,
72,3.390439,23:45,
73,3.918458,0:00,0:00
74,4.345938,0:15,
75,4.546447,0:30,
76,4.212599,0:45,
77,2.563594,1:00,
78,2.254886,1:15,
79,2.50094,1:30,
80,2.727559,1:45,
81,3.233872,2:00,2:00
82,3.625747,2:15,
83,4.221795,2:30,
84,4.450882,2:45,
85,4.046966,3:00,
86,4.226011,3:15,
87,5.270467,3:30,
88,4.557156,3:45,
89,4.842074,4:00,4:00
90,6.866961,4:15,
91,7.765097,4:30,
92,7.320822,4:45,
93,7.377761,5:00,
94,8.561038,5:15,
95,8.303519,5:30,
96,9.815036,5:45,5:45
