headend_no,household_no,a,b,c,d,e,denominator
100264,10017,0,1,0,1,0,1
100264,100264,0,0,0,0,0,1
100264,100291,0,0,0,0,0,1
100264,10039,0,0,0,0,0,1
100264,100511,0,0,0,0,0,1
100264,10061,0,0,0,0,0,1
100264,100821,0,0,0,0,0,1
100264,10087,0,0,0,0,0,1
100264,100970,0,0,0,0,0,1
100264,100990,0,0,0,0,0,1
100264,101057,0,0,0,0,0,1
100264,101094,0,0,0,1,1,1
100264,10115,0,0,0,0,0,1
100264,101186,0,0,0,0,0,1
100264,10125,0,0,0,0,0,1
100264,101279,0,0,0,0,0,1
100264,101298,0,0,0,0,0,1
100264,101300,0,0,0,0,0,1
100264,1014,0,0,0,0,0,1
100264,101404,0,0,0,0,0,1
100264,101443,0,0,0,0,0,1
100264,101505,0,0,0,0,0,1
100264,101667,0,0,0,0,0,1
100264,10168,0,0,0,0,0,1
100264,101682,0,0,0,0,0,1
100264,101693,0,0,0,0,0,1
100264,101736,0,0,0,0,0,1
100264,1018,0,0,0,0,0,1
100264,101842,0,0,0,0,0,1
100264,10199,0,0,0,0,0,1
100264,10215,0,0,0,0,0,1
100264,102433,0,0,0,0,0,1
100264,102480,0,0,0,0,0,1
100264,102492,0,0,0,0,0,1
100264,10257,0,0,0,1,0,1
100264,10276,0,0,0,0,0,1
100264,102768,0,0,0,0,0,1
100264,102903,0,0,0,0,0,1
100264,102905,0,0,0,1,0,1
100264,102984,0,0,0,0,0,1
100264,10299,0,0,0,0,0,1
100264,10305,0,0,0,0,0,1
100264,103166,0,0,0,0,0,1
100264,103289,0,0,0,0,0,1
100264,103370,0,0,0,0,0,1
100264,10345,0,0,0,0,0,1
100264,103486,0,0,0,0,0,1
100264,103551,0,0,0,0,0,1
100264,103625,0,0,0,0,0,1
100264,103637,0,0,0,0,0,1
100264,103653,0,0,0,0,0,1
100264,103765,0,0,0,0,0,1
100264,103875,0,0,0,0,0,1
100264,103887,0,0,0,0,0,1
100264,103902,0,0,0,0,0,1
100264,103962,0,0,0,0,0,1
100264,103971,0,0,0,0,0,1
100264,104039,0,0,0,1,0,1
100264,104119,0,0,0,0,0,1
100264,104207,0,0,0,0,0,1
100264,104272,0,0,0,1,1,1
100264,104288,0,0,0,0,0,1
100264,104335,0,0,0,0,0,1
100264,104458,0,0,0,0,0,1
100264,104459,0,0,0,0,0,1
100264,104482,0,0,0,0,0,1
100264,104777,0,0,0,0,0,1
100264,104812,0,0,0,0,0,1
100264,105025,0,0,0,0,0,1
100264,10515,0,0,0,0,0,1
100264,105454,0,0,0,0,0,1
100264,105476,0,0,0,0,0,1
100264,105576,0,0,0,0,0,1
100264,105610,0,0,0,0,0,1
100264,10568,0,0,0,0,0,1
100264,105727,0,0,0,0,0,1
100264,105774,0,0,0,0,0,1
100264,105826,0,0,0,0,0,1
100264,10583,0,0,0,0,0,1
100264,10611,0,0,0,0,0,1
100264,10613,0,0,0,0,0,1
100264,10616,0,0,0,0,0,1
100264,106219,0,0,0,0,0,1
100264,106276,0,0,0,0,0,1
100264,106372,0,0,0,0,0,1
100264,106404,0,0,0,0,0,1
100264,106623,1,1,0,1,0,1
100264,106629,0,0,0,0,0,1
100264,106700,0,0,0,0,0,1
100264,106702,0,0,0,0,0,1
100264,106806,0,0,0,0,0,1
100264,106851,0,0,0,0,0,1
100264,106870,0,0,0,0,0,1
100264,106990,0,0,0,0,0,1
100264,106995,0,0,0,0,0,1
100264,106996,0,0,0,0,0,1
100264,107030,0,0,0,0,0,1
100264,107122,0,0,0,0,0,1
100264,107168,0,0,0,1,0,1
100264,1072,0,0,0,0,0,1
100264,107204,0,0,0,0,0,1
100264,107400,0,0,0,0,0,1
100264,107456,0,0,0,0,0,1
100264,107476,0,0,0,0,0,1
100264,10749,0,0,0,0,0,1
100264,107562,0,0,0,0,0,1
100264,107565,0,0,0,0,0,1
100264,10768,0,0,0,1,0,1
100264,107804,0,0,0,0,0,1
100264,107832,0,0,0,0,0,1
100264,107895,0,0,0,0,0,1
100264,107906,0,0,0,0,0,1
100264,107956,0,0,0,0,0,1
100264,108000,0,0,0,0,0,1
100264,10802,0,0,0,0,0,1
100264,108042,0,0,0,0,0,1
100264,108052,0,0,0,1,1,1
100264,108066,0,0,0,0,0,1
100264,1081,0,0,0,0,0,1
100264,108153,0,0,0,0,0,1
100264,10819,0,0,0,0,0,1
100264,108262,0,0,0,0,0,1
100264,108277,0,0,0,0,0,1
100264,108316,0,0,0,0,0,1
100264,10843,0,0,0,0,0,1
100264,108515,0,0,0,0,0,1
100264,108607,0,0,0,0,0,1
100264,108668,0,0,0,0,0,1
100264,10867,0,0,0,0,0,1
100264,108695,0,0,0,0,0,1
100264,108701,0,0,0,0,0,1
100264,108705,0,0,0,0,0,1
100264,108757,0,0,0,0,0,1
100264,108758,0,0,0,0,0,1
100264,108766,0,0,0,0,0,1
100264,108774,0,0,0,0,0,1
100264,10909,0,0,0,0,0,1
100264,109159,0,0,0,0,0,1
100264,109164,0,0,0,0,0,1
100264,109290,0,0,0,1,0,1
100264,109299,0,0,0,0,0,1
100264,109300,0,0,0,0,0,1
100264,10943,0,0,0,0,0,1
100264,109431,0,0,0,0,0,1
100264,109470,0,0,0,0,0,1
100264,109496,0,0,0,0,0,1
100264,109643,0,0,0,0,0,1
100264,109654,0,0,0,0,0,1
100264,109796,0,0,0,0,0,1
100264,109823,0,0,0,0,0,1
100264,109856,0,0,0,0,0,1
100264,10994,0,0,0,0,0,1
100264,109948,0,0,0,0,0,1
100264,110015,0,0,0,0,0,1
100264,110152,0,0,0,0,0,1
100264,11023,0,0,0,0,0,1
100264,110329,0,0,0,0,0,1
100264,11035,0,0,0,0,0,1
100264,110367,0,0,0,0,0,1
100264,1104,0,0,0,0,0,1
100264,110410,0,0,0,1,0,1
100264,110519,0,0,0,0,0,1
100264,110574,0,0,0,0,0,1
100264,110584,0,0,0,0,0,1
100264,110636,0,0,0,1,0,1
100264,110892,0,0,0,0,0,1
100264,110926,0,0,0,0,0,1
100264,110984,0,0,0,0,0,1
100264,111,0,0,0,0,0,1
100264,111007,0,0,0,0,0,1
100264,111085,0,0,0,0,0,1
100264,111145,0,0,0,0,0,1
100264,11116,0,0,0,0,0,1
100264,111252,0,0,0,0,0,1
100264,11130,0,0,0,0,0,1
100264,11142,0,0,0,0,0,1
100264,111433,0,0,0,0,0,1
100264,1115,0,0,0,0,0,1
100264,111564,0,0,0,0,0,1
100264,111654,0,0,0,0,0,1
100264,111746,0,0,0,0,0,1
100264,111790,0,0,0,0,0,1
100264,111970,0,0,0,0,0,1
100264,112000,0,0,0,0,0,1
100264,112004,0,0,0,0,0,1
100264,112013,0,0,0,0,0,1
100264,112086,0,0,0,1,0,1
100264,112135,0,0,0,0,0,1
100264,112209,0,0,0,0,0,1
100264,112228,0,0,0,0,0,1
100264,112290,0,0,0,0,0,1
100264,112328,0,0,0,0,0,1
100264,112367,0,0,0,0,0,1
100264,112444,0,0,0,0,0,1
100264,11259,0,0,0,0,0,1
100264,1128,0,0,0,0,0,1
100264,11281,0,0,0,1,0,1
100264,112951,0,0,0,0,0,1
100264,113158,0,0,0,0,0,1
100264,113240,0,0,0,0,0,1
100264,113242,0,0,0,0,0,1
100264,113347,0,0,0,1,0,1
100264,113360,0,0,0,0,0,1
100264,113435,0,0,0,0,0,1
100264,113442,0,0,0,0,0,1
100264,113499,0,0,0,0,0,1
100264,113522,0,0,0,0,0,1
100264,113641,0,0,0,0,0,1
100264,113735,0,0,0,0,0,1
100264,113862,0,0,0,1,0,1
100264,113866,0,0,0,0,0,1
100264,113953,0,0,0,0,0,1
100264,113975,0,0,0,0,0,1
100264,113978,0,0,0,0,0,1
100264,114185,0,0,0,0,0,1
100264,114253,0,0,0,0,0,1
100264,11429,0,0,0,0,0,1
100264,114302,0,0,0,0,0,1
100264,114338,0,0,0,0,0,1
100264,114390,0,0,0,0,0,1
100264,114407,0,0,0,0,0,1
100264,11442,0,0,0,0,0,1
100264,114621,0,0,0,0,0,1
100264,114777,0,0,0,0,0,1
100264,114786,0,0,0,0,0,1
100264,114870,0,0,0,0,0,1
100264,114882,0,0,0,0,0,1
100264,115038,0,0,0,0,0,1
100264,115042,0,0,0,0,0,1
100264,115043,0,0,0,0,0,1
100264,115214,0,0,0,0,0,1
100264,115221,0,0,0,0,0,1
100264,115234,0,0,0,0,0,1
100264,115295,0,0,0,0,0,1
100264,115296,0,0,0,0,0,1
100264,115301,0,0,0,0,0,1
100264,115362,0,0,0,0,0,1
100264,115707,0,0,0,0,0,1
100264,115726,0,0,0,0,0,1
100264,115732,0,0,0,0,0,1
100264,115759,0,0,0,0,0,1
100264,115779,0,0,0,0,0,1
100264,115829,0,0,0,0,0,1
100264,115834,1,1,0,1,0,1
100264,115914,0,0,0,0,0,1
100264,115978,0,0,0,0,0,1
100264,115987,0,0,0,0,0,1
100264,116004,0,0,0,0,0,1
100264,116092,0,0,0,0,0,1
100264,1161,0,0,0,0,0,1
100264,116149,0,0,0,0,0,1
100264,116247,0,0,0,0,0,1
100264,116330,0,0,0,0,0,1
100264,116400,0,0,0,0,0,1
100264,11648,0,0,0,0,0,1
100264,1165,0,0,0,0,0,1
100264,11674,0,0,0,0,0,1
100264,116744,1,1,0,1,0,1
100264,116780,0,0,0,0,0,1
100264,116788,0,0,0,0,0,1
