crm,Y0901,Y0902,Y0903,Y0904,Y0905,Y0906,Y0907,Y0908,Y0909,Y0910,Y0911,Y0912,Y1001,Y1002,Y1003,Y1004,Y1005,Y1006,Y1007,Y1008,Y1009,Y1010,Y1011,Y1012,Y1101,Y1102,Y1103,Y1104,Y1105,Y1106,Y1107,Y1108,Y1109,Y1110,Y1111,Y1112,Y1201,Y1202,Y1203,Y1204,Y1205,Y1206,Y1207,Y1208,Y1209,Y1210,Y1211,Y1212,Y1301,Y1302,Y1303,Y1304,Y1305,Y1306,Y1307,Y1308,Y1309,Y1310,Y1311,Y1312,Y1401,Y1402,Y1403,Y1404,Y1405,Y1406,Y1407,Y1408,Y1409,Y1410,Y1411,Y1412,Y1501,Y1502,Y1503,Y1504,Y1505,Y1506,Y1507,Y1508,Y1509,Y1510,Y1511,Y1512,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1000,39575,18241,41103,47763,52324,13220,35152,34515,40387,30959,51673,33908,34005,32286,52722,34197,44651,34056,59904,78423,53748,56907,53967,47850,38955,57607,87406,56813,60504,74911,30985,56168,50043,82685,71994,45878,36194,49756,74750,58057,37703,21348,59207,19388,43383,49690,26074,33429,44495,73016,52511,70745,53385,71362,64785,76062,55256,55285,59799,32224,28584,34062,49197,51514,61795,53000,64665,40003,42870,64858,25602,27064,42505,51751,58915,55726,65570,64694,49645,41196,53620,76971,65578,33811,36216,61433,47522,58459,29733,97542,30940,46051,36461,74916,30475,16879,65633,49352,61532,64933,64432,37859,46834,72424,45358,47441,45493,29868,48546,44552,49948,54849,55244,59186,41156
1001,3049,25887,14985,21344,36144,24026,17580,28907,26347,21739,29348,18417,21259,25110,24975,25787,33422,19000,25442,26957,19708,32136,21542,35841,19826,11993,46661,30702,39006,32464,25525,48194,11575,36502,23338,27123,39446,11830,11326,21708,22465,23058,21072,15394,8578,19072,15774,28676,23878,64699,24004,43446,11602,48323,9282,39273,17388,21519,32400,8733,18404,16544,16703,24917,18413,31253,7852,22020,24658,18616,2041,11866,9822,21292,15612,18690,16208,13112,27403,18290,16102,33513,34410,26874,27122,21809,45417,51045,11767,52047,42552,38350,52640,25571,43551,41557,36861,56937,65132,30789,39744,45149,31505,35459,45512,56142,56232,31166,20477,43255,52500,50938,21678,59280,36560
1002,32593,27609,12547,37495,9638,9775,25863,18864,9488,15087,33247,42213,34580,24186,32277,10314,24411,10092,6542,19015,21200,20326,19617,35895,16701,33000,23094,13774,22645,29418,20842,20272,20745,27649,27961,22717,29749,23707,28207,24021,28394,33588,20890,31436,17541,25229,20228,36068,40505,34011,24043,20108,25717,15191,15048,17946,35738,35584,34899,13057,38755,29674,23601,35921,44775,44892,9806,28766,22965,27302,18754,24715,51360,36731,41796,25968,29496,15362,29626,26864,32569,19324,31177,17601,29826,14829,12983,24631,30255,24372,8386,36461,39263,4891,34568,48250,26974,20277,24871,19976,36559,8987,12984,44912,7688,16277,15277,8289,8094,29072,13083,9387,23126,11435,15285
1003,23193,20683,18407,18937,22513,45536,27977,25892,27119,30765,30158,31910,20142,31859,38155,28373,38110,35358,31650,23730,29325,31618,29710,23068,32752,29910,33438,16725,35363,33699,28194,29144,22817,25970,42130,19506,34718,30539,25972,27160,28186,40746,37417,53092,29140,34074,32570,39914,28957,48494,37084,32873,46194,27558,28645,27642,36377,24572,24698,20389,46334,22920,32461,29383,23419,20576,41740,49849,25544,35796,28771,38567,47553,33836,38826,41445,42493,34611,34484,34621,25140,11908,14044,12702,6483,9420,30926,6858,14403,8938,8035,10388,18375,8885,17582,11284,23971,10990,15878,20227,25572,13181,31859,20075,11582,19778,24319,23525,23768,17882,20878,26069,22924,16032,22976
1004,32672,22176,42513,34494,30568,38103,31625,47887,10755,9278,16441,57422,42621,29622,42871,18268,61345,31019,78189,80781,37127,81285,65036,75980,75087,76947,107093,71717,89234,92850,82812,93709,56538,64991,65373,55459,30498,41479,88536,60652,48080,44236,20558,80413,10322,28695,40889,28060,37113,40235,44729,47024,31525,27486,27577,60989,36015,43575,16814,50591,22479,58689,49434,31902,82349,51209,19390,-5745,-1518,-1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,-351,35911,24328,37626,51365,31770,-822,39573,22874,8221,6745,19201,29768,20229,53257,908,22683,13338,20979,30433,23475,3699,15372,18512,28192,41013,20338,10704,24226,10925,-731,12175,10493,9455,28504,17236,968,5886,-1798,-4995,817,318,,,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497,,,598,,,,,,,,,,,,,,,,,,
1006,16666,26471,31818,12951,12601,23454,6039,19582,20991,18224,3163,18839,21865,14770,14865,28659,15334,26520,15426,24743,24612,30789,24795,16399,17003,37110,34795,15265,33875,24421,15548,29164,39392,7631,6372,16582,27415,27220,30017,18014,17975,13790,25293,17572,7196,21593,18859,13975,29445,41473,34292,23910,20638,29341,10445,19724,19663,13637,18046,13583,21195,13866,32398,42436,21548,17503,22421,29077,21909,17367,24170,19880,14321,33691,37463,35302,41712,30605,7946,32272,27602,45485,28707,30120,22820,38430,28111,47655,21546,13263,18863,12585,23278,26271,16882,14124,9685,11884,22274,17678,7895,33064,20587,7291,15132,21227,10538,3297,10837,15680,15582,17982,25370,19627,6590
1007,24071,35803,77754,31275,45131,18044,41555,43569,24036,34783,29498,27060,31060,2997,19662,53745,19862,56051,36095,50032,51509,36403,34726,33857,36101,9755,40123,28190,45912,32790,8812,40541,54538,60421,37624,18623,14539,11329,38254,19724,47598,45251,35959,9347,27329,32641,43440,-8324,27447,5063,3721,31934,24831,35689,23966,16189,21232,36331,15819,26257,26350,13070,31618,25222,50403,34508,35997,16925,13228,30481,39189,25043,18005,35428,38661,47046,26146,26557,29995,17740,33373,34079,25250,34557,19994,17737,22323,32134,32591,19196,25169,49950,20972,22390,38588,37154,50325,15468,24670,38304,33067,9882,23228,63834,42163,70335,11282,39061,26272,29274,27255,41550,54246,21879,75624
1008,26906,9840,35579,27942,21057,20867,22386,34589,16250,9944,31275,6395,13750,25025,30844,25049,24332,13087,13754,20230,20672,32147,18042,11204,26607,32999,15935,27622,22849,17255,21076,28081,22169,29355,16319,17292,15506,19355,30420,13446,25626,24626,6575,31559,15955,10373,15456,27191,23017,13540,30024,21228,26085,13602,19790,27978,26697,28934,31532,26506,14829,32030,16460,31352,25697,37493,33352,30955,13278,16061,25930,31039,29393,-1271,37586,27765,17735,21323,29021,20064,32286,7870,25601,33269,15170,13406,39975,23869,28901,44214,21275,10925,21030,42905,30216,30107,27164,45152,34948,21769,39479,36259,39602,39443,21379,30702,27971,41351,20075,30359,30351,43151,42347,49139,45444
1009,14717,11351,10547,11823,29707,25567,18473,15089,5252,17868,11410,15788,9780,12029,6394,14391,27693,20736,15379,17571,3847,22052,11340,11574,24143,9053,10893,16550,17809,27655,14749,16015,8593,2493,1616,7643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
