crm,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1000,36216,61433,47522,58459,29733,97542,30940,46051,36461,74916,30475,16879,65633,49352,61532,64933,64432,37859,46834,72424,45358,47441,45493,29868,48546,44552,49948,54849,55244,59186,41156
1001,27122,21809,45417,51045,11767,52047,42552,38350,52640,25571,43551,41557,36861,56937,65132,30789,39744,45149,31505,35459,45512,56142,56232,31166,20477,43255,52500,50938,21678,59280,36560
1002,29826,14829,12983,24631,30255,24372,8386,36461,39263,4891,34568,48250,26974,20277,24871,19976,36559,8987,12984,44912,7688,16277,15277,8289,8094,29072,13083,9387,23126,11435,15285
1003,6483,9420,30926,6858,14403,8938,8035,10388,18375,8885,17582,11284,23971,10990,15878,20227,25572,13181,31859,20075,11582,19778,24319,23525,23768,17882,20878,26069,22924,16032,22976
1006,22820,38430,28111,47655,21546,13263,18863,12585,23278,26271,16882,14124,9685,11884,22274,17678,7895,33064,20587,7291,15132,21227,10538,3297,10837,15680,15582,17982,25370,19627,6590
1007,19994,17737,22323,32134,32591,19196,25169,49950,20972,22390,38588,37154,50325,15468,24670,38304,33067,9882,23228,63834,42163,70335,11282,39061,26272,29274,27255,41550,54246,21879,75624
1008,15170,13406,39975,23869,28901,44214,21275,10925,21030,42905,30216,30107,27164,45152,34948,21769,39479,36259,39602,39443,21379,30702,27971,41351,20075,30359,30351,43151,42347,49139,45444
1013,11727,16550,14356,13373,13947,1897,9091,15983,7943,15683,14283,23174,14487,17584,-1800,13186,21375,17260,4100,6750,22427,-501,13734,14187,9840,18384,16285,18381,18984,11390,13386
1016,33233,25438,39339,47175,31349,846,18471,37941,13083,31659,33160,21624,21468,26262,37353,31164,12976,49335,7980,52136,31658,40947,39054,35791,9233,11582,39454,30808,40550,19373,32920
1019,21763,23157,20761,30324,27823,29562,16599,15989,35300,8289,18784,7995,7091,8792,23277,14584,36516,17683,6590,22474,21283,3393,23915,28778,5196,17081,17186,13887,19532,23481,3996
1022,20556,16816,9330,28837,11441,36318,3963,81883,-25482,26327,13188,33366,4495,47453,24572,12687,15085,4697,33169,18682,30970,16784,22479,12388,19481,14487,20681,29774,13485,20281,11386
1027,7300,12665,16431,7785,5071,14401,16877,27353,21076,19973,21494,16349,25071,23986,44075,19426,27716,40946,2992,19577,10789,14696,11787,17223,20424,16132,27671,26470,27784,9837,14786
1030,7176,7113,6517,5597,5942,3256,3383,5600,6378,1569,4312,7094,3470,8144,1693,2206,7684,3325,5515,1499,1250,2400,3474,5497,3351,6173,2625,3374,5323,7596,350
1036,12366,10662,33453,16668,30882,14330,19970,21129,-7696,19432,15991,15085,7494,14486,20780,25477,21677,22726,18081,14382,16634,17634,18927,20875,8941,20879,22778,12484,39357,30013,14482
1039,140580,44596,69162,25514,87981,72212,62277,131821,107293,117866,91109,93299,91800,118896,123176,109479,113631,94758,135361,116781,83360,147591,147086,111579,53640,97646,75414,128261,126219,94094,77206
1041,12768,26503,21060,23346,18111,35087,38225,43247,12535,22768,-1699,8845,40413,33079,28000,21206,24422,5822,21026,35987,17815,20890,30054,39078,9816,22521,29494,32256,17153,30862,25917
1043,13702,17811,9512,16208,23459,6191,8689,15175,9391,9986,16276,22971,25562,13384,9790,11584,19572,18970,6489,15879,6784,22864,14271,19365,5690,17370,4396,13778,18669,16569,14988
1049,33216,31876,46827,32476,48688,19081,23177,67979,33914,48192,16882,12387,44851,31719,32405,27267,27172,49648,26916,59750,21269,57288,15781,33014,32622,32015,63887,24459,39204,48794,47450
1053,20226,18331,33309,23269,21058,41956,31366,23073,17081,29014,20477,21674,27461,19281,41404,21875,28365,40264,20580,32977,36257,23872,53851,32063,23127,20677,32409,25368,32836,36308,40152
1057,18332,11043,33715,46463,48316,41828,39451,37081,22649,41351,18424,66025,3195,35058,31769,32110,41108,29177,34960,59524,42846,58589,35664,64760,34523,34456,69123,16931,65700,56638,47201
1060,15181,15546,26697,22470,19692,44011,17896,13581,22973,18880,31268,15986,16729,27768,34259,33161,21472,9888,21874,31865,19276,22275,31067,29468,19875,6591,37161,42754,25869,36857,17981
1063,23348,49578,20636,44667,46782,41549,24021,21423,33863,34355,37849,18229,28712,45652,15325,44495,14374,31866,27067,30611,21578,19571,18474,32660,39750,33758,12782,25867,34756,33762,39652
1064,1312,8063,13011,589,5502,22425,14182,17978,-4198,15283,5093,10091,3996,3895,12081,-1601,2198,4993,-1999,7290,9589,7890,5595,2196,598,1895,6994,9088,7091,3594,5191
1067,2743,12762,26368,29747,26020,34721,22681,42260,31120,26475,15285,21379,21682,31872,6789,41767,25917,22130,6693,14038,8989,10590,7791,5194,11987,-4295,3996,11789,1395,7992,14985
1069,12264,18803,29068,15829,19462,21532,11888,1649,27672,24026,31918,30871,24046,31270,12079,29768,19478,19451,8513,17635,16684,24676,23276,26925,21181,30669,22231,-1500,25575,24623,15285
1071,21551,10128,39891,16951,28741,74326,48451,45755,64388,46755,17876,50953,48695,36925,32167,48300,47954,40358,31568,31919,48301,42710,22874,62935,6691,23874,32321,25877,38164,33916,14182
1073,44599,6442,55434,24528,36290,61433,36964,55592,10089,33908,42001,56143,56890,27517,18283,51095,35065,38860,27768,46446,50651,36822,53745,41158,33468,31525,42703,41556,38665,39063,44050
1075,20654,10996,16312,21380,24682,16481,6994,30195,12625,12875,475,13611,4693,10590,33867,396,5396,8087,5794,4396,7217,12487,14386,10937,13885,8042,23381,11112,10262,7392,9791
1076,16149,2662,9784,14951,7902,6593,1997,14886,7992,34117,5942,6493,9147,4312,17239,5891,9286,12689,11485,8821,2097,9790,9990,11390,8291,2297,8392,9940,9891,9390,7691
1078,17697,5857,23971,6369,6586,20267,19473,25568,16878,13379,24469,25760,10879,15084,20923,7688,10782,17776,17279,18974,5689,11281,18071,8990,14782,17075,20121,22673,30869,17083,24869
1080,26402,10918,25924,51175,33070,42623,15639,18436,15533,34604,30767,36857,19676,16547,38527,24572,40319,40755,20525,34549,23514,24368,34568,47945,5886,28658,33335,49245,34715,33361,32952
1095,27643,19431,10104,7054,2057,16981,5794,17185,29223,30568,20383,25473,7788,17883,27071,20778,15784,19776,16480,29368,4294,6893,17780,8992,21376,9989,15791,11088,7693,23874,18279
1100,7970,21669,28329,31590,20630,19275,18075,48328,21318,18326,20811,16378,26006,18025,19970,8080,31646,28452,35755,27008,37889,4486,19872,43449,21120,30410,25159,16612,17173,13867,18819
1101,22080,8457,11243,22146,21417,19415,19481,19091,18085,52456,24179,21777,26274,24729,12587,29361,19780,28474,9692,5393,7693,15687,21980,20279,21178,11390,15487,7692,23181,11387,13885
1105,8244,17316,16434,12202,11661,22165,6240,11679,9982,9484,11982,5190,16269,7030,9135,13474,4891,9285,12424,17177,13687,6091,5742,10489,17679,15681,3394,12788,20376,3195,2994
1108,17852,13995,13711,11228,19301,11731,19018,19776,7343,13080,19774,9888,27018,15281,9186,14486,14585,12181,22974,17679,7789,12780,9687,18977,8690,14980,15929,15079,5091,16184,14683
1109,10870,20346,10304,22237,18516,31055,14781,33859,7442,19275,22051,9189,-2697,15479,14983,18275,26620,20379,10481,24672,18573,13681,18380,6991,22321,15879,6591,21573,21377,14681,17931
1110,35260,6144,30122,8101,14743,16975,5891,3396,21983,14986,25378,24023,12886,15589,17781,17182,25582,7094,7334,13544,19584,20680,20485,10489,34469,29477,24375,15284,-202,5194,-4996
1112,10400,12266,33025,13765,31540,15844,26472,37015,27925,25741,14223,34213,19636,24739,33611,23378,42354,17274,25226,26824,8843,25619,33464,17077,24363,31651,23274,18083,37463,24871,46007
1113,34940,59290,70626,60286,33576,59944,51069,48530,40063,36198,67311,31848,37144,51777,56176,48928,27760,54125,46186,56058,27694,48483,30060,39747,48838,48540,55732,29207,35550,41194,41241
1114,52706,41687,36533,45440,51719,74958,41255,37649,90514,24137,25269,31612,55411,14685,11948,6689,7890,2198,9986,32661,16082,17457,33472,60644,49079,16599,45800,62988,41781,82048,20924
1116,14440,38477,33209,39831,73604,39359,31217,54447,40405,35413,58094,23925,38608,28219,66839,35663,38307,54148,35322,38060,21934,34865,27975,24875,28421,44251,35385,28369,30768,40058,31671
1119,12081,17298,21716,32371,24355,26149,1295,20377,30063,33458,25863,22047,18479,29613,26968,22475,29461,26671,13983,28428,13087,43515,29470,34763,15244,17777,21873,22774,32216,31268,9288
1141,32944,3843,12743,5491,3637,7493,540,20773,11986,15685,28675,18331,15382,14986,21677,8290,4845,16282,8190,12184,5394,29568,21378,22678,18477,9989,9589,21928,24377,-1699,12985
1150,1558,3056,3025,8245,13415,15783,11386,16377,13385,11636,22874,16229,17082,13486,12887,13881,12389,16181,17982,18083,17485,20982,10388,16084,18980,3995,14187,18382,6191,8841,11788
1152,36894,17804,10715,34094,19519,39969,15983,17932,21178,10285,18782,22689,19381,23277,9245,15387,12844,37472,24677,12148,39160,12496,18181,24685,10289,7389,15782,13881,30944,13885,18780
1153,3718,2818,15386,5196,5012,26462,10787,12482,5794,10386,6093,1798,9390,14786,3208,-1299,18383,17580,-1398,1398,3194,32771,17383,6189,14091,17781,14987,13488,5995,15285,18083
1156,12978,28530,11988,-615,10370,11996,7240,9190,2742,7992,26724,20482,-2998,13530,2496,9538,8390,22178,2297,10385,19780,6191,10291,17182,3596,-202,8892,6691,10684,12484,11188
1159,18389,682,12130,9060,11288,9591,11089,8891,13687,21279,2897,-2598,5793,7991,399,3596,12689,5793,3495,8790,4695,11088,4095,11687,4994,1798,4994,5793,15483,1699,8390
