crm,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1000,65633,49352,61532,64933,64432,37859,46834,48546,44552,49948,54849,55244,59186,41156
1001,36861,56937,65132,30789,39744,45149,31505,20477,43255,52500,50938,21678,59280,36560
1002,26974,20277,24871,19976,36559,8987,12984,8094,29072,13083,9387,23126,11435,15285
1003,23971,10990,15878,20227,25572,13181,31859,23768,17882,20878,26069,22924,16032,22976
1006,9685,11884,22274,17678,7895,33064,20587,10837,15680,15582,17982,25370,19627,6590
1007,50325,15468,24670,38304,33067,9882,23228,26272,29274,27255,41550,54246,21879,75624
1008,27164,45152,34948,21769,39479,36259,39602,20075,30359,30351,43151,42347,49139,45444
1013,14487,17584,-1800,13186,21375,17260,4100,9840,18384,16285,18381,18984,11390,13386
1016,21468,26262,37353,31164,12976,49335,7980,9233,11582,39454,30808,40550,19373,32920
1019,7091,8792,23277,14584,36516,17683,6590,5196,17081,17186,13887,19532,23481,3996
1022,4495,47453,24572,12687,15085,4697,33169,19481,14487,20681,29774,13485,20281,11386
1027,25071,23986,44075,19426,27716,40946,2992,20424,16132,27671,26470,27784,9837,14786
1030,3470,8144,1693,2206,7684,3325,5515,3351,6173,2625,3374,5323,7596,350
1036,7494,14486,20780,25477,21677,22726,18081,8941,20879,22778,12484,39357,30013,14482
1039,91800,118896,123176,109479,113631,94758,135361,53640,97646,75414,128261,126219,94094,77206
1041,40413,33079,28000,21206,24422,5822,21026,9816,22521,29494,32256,17153,30862,25917
1043,25562,13384,9790,11584,19572,18970,6489,5690,17370,4396,13778,18669,16569,14988
1049,44851,31719,32405,27267,27172,49648,26916,32622,32015,63887,24459,39204,48794,47450
1053,27461,19281,41404,21875,28365,40264,20580,23127,20677,32409,25368,32836,36308,40152
1057,3195,35058,31769,32110,41108,29177,34960,34523,34456,69123,16931,65700,56638,47201
1060,16729,27768,34259,33161,21472,9888,21874,19875,6591,37161,42754,25869,36857,17981
1063,28712,45652,15325,44495,14374,31866,27067,39750,33758,12782,25867,34756,33762,39652
1064,3996,3895,12081,-1601,2198,4993,-1999,598,1895,6994,9088,7091,3594,5191
1067,21682,31872,6789,41767,25917,22130,6693,11987,-4295,3996,11789,1395,7992,14985
1069,24046,31270,12079,29768,19478,19451,8513,21181,30669,22231,-1500,25575,24623,15285
1071,48695,36925,32167,48300,47954,40358,31568,6691,23874,32321,25877,38164,33916,14182
1073,56890,27517,18283,51095,35065,38860,27768,33468,31525,42703,41556,38665,39063,44050
1075,4693,10590,33867,396,5396,8087,5794,13885,8042,23381,11112,10262,7392,9791
1076,9147,4312,17239,5891,9286,12689,11485,8291,2297,8392,9940,9891,9390,7691
1078,10879,15084,20923,7688,10782,17776,17279,14782,17075,20121,22673,30869,17083,24869
1080,19676,16547,38527,24572,40319,40755,20525,5886,28658,33335,49245,34715,33361,32952
1095,7788,17883,27071,20778,15784,19776,16480,21376,9989,15791,11088,7693,23874,18279
1100,26006,18025,19970,8080,31646,28452,35755,21120,30410,25159,16612,17173,13867,18819
1101,26274,24729,12587,29361,19780,28474,9692,21178,11390,15487,7692,23181,11387,13885
1105,16269,7030,9135,13474,4891,9285,12424,17679,15681,3394,12788,20376,3195,2994
1108,27018,15281,9186,14486,14585,12181,22974,8690,14980,15929,15079,5091,16184,14683
1109,-2697,15479,14983,18275,26620,20379,10481,22321,15879,6591,21573,21377,14681,17931
1110,12886,15589,17781,17182,25582,7094,7334,34469,29477,24375,15284,-202,5194,-4996
1112,19636,24739,33611,23378,42354,17274,25226,24363,31651,23274,18083,37463,24871,46007
1113,37144,51777,56176,48928,27760,54125,46186,48838,48540,55732,29207,35550,41194,41241
1114,55411,14685,11948,6689,7890,2198,9986,49079,16599,45800,62988,41781,82048,20924
1116,38608,28219,66839,35663,38307,54148,35322,28421,44251,35385,28369,30768,40058,31671
1119,18479,29613,26968,22475,29461,26671,13983,15244,17777,21873,22774,32216,31268,9288
1128,899,3994,1249,5580,399,4489,8788,2089,4394,2596,12286,5988,-201,1797
1141,15382,14986,21677,8290,4845,16282,8190,18477,9989,9589,21928,24377,-1699,12985
1150,17082,13486,12887,13881,12389,16181,17982,18980,3995,14187,18382,6191,8841,11788
1152,19381,23277,9245,15387,12844,37472,24677,10289,7389,15782,13881,30944,13885,18780
1153,9390,14786,3208,-1299,18383,17580,-1398,14091,17781,14987,13488,5995,15285,18083
1156,-2998,13530,2496,9538,8390,22178,2297,3596,-202,8892,6691,10684,12484,11188
1159,5793,7991,399,3596,12689,5793,3495,4994,1798,4994,5793,15483,1699,8390
1160,12785,31809,21323,15919,-649,28216,24574,4539,26328,20378,8981,27100,12485,1896
1161,501,13188,-1600,519,-1798,14085,2997,7091,-1398,948,4394,8091,4695,5348
1163,20279,13986,12287,26174,26075,34418,17484,31664,13583,21877,5991,28269,13283,17281
1167,8344,18132,5906,14740,5082,7940,13614,3714,8446,-2079,38641,6068,24879,28180
