Member ID,Practice Name,IRL,Legal Profile,Term Date,State,Country
1000,Garden State Hearing & Balance Center,4/1/2005,LLC,,New Jersey,USA
1001,Family Hearing,4/1/2005,LLC,,Colorado,USA
1002,First Coast Hearing Clinic,4/1/2005,S-corp,,Florida,USA
1003,Timko Hearing Care,4/1/2005,Sole Proprietor,,Florida,USA
1004,Columbia Basin Hearing Center,5/10/2005,LLC,7/31/2014,Washington,USA
1005,The Hearing Center of Lake Charles Inc.,4/15/2005,Unknown,7/17/2012,Louisiana,USA
1006,The Hearing Center,4/1/2005,Sole Proprietor,,California,USA
1007,Luebbe Hearing Services,6/11/2005,C-corp,,Ohio,USA
1008,Finger Lakes Hearing Center,5/16/2005,C-corp,,New York,USA
1009,Family Hearing Centers,4/1/2005,Unknown,1/1/2012,New Jersey,USA
1010,Audiology Hearing Care,5/26/2005,Unknown,2/29/2012,Indiana,USA
1011,Audiologic Services,11/8/2005,S-corp,6/21/2018,Illinois,USA
1012,Treasure Valley Hearing ,11/16/2005,S-corp,9/15/2017,Idaho,USA
1013,Hearing Center of Bucks County,10/22/2008,LLC,,Pennsylvania,USA
1014,Ear4U Hearing Centers 1,2/20/2009,Unknown,2/1/2009,Florida,USA
1015,Audiology Associates-Santa Rosa,9/17/2006,Sole Proprietor,12/29/2017,California,USA
1016,Audiology Associates,2/26/2006,Unknown,,Kentucky,USA
1017,"Reed Norwood, AuD",10/1/2005,Unknown,9/1/2011,Tennessee,USA
1019,Audicare Hearing Centers,2/23/2008,S-corp,,Michigan,USA
1020,The Hearing Aid Center,2/23/2008,Unknown,11/1/2011,Ohio,USA
1021,Hudson Hearing Clinic,4/3/2007,LLC,,Wisconsin,USA
1022,North State Audiological Services,1/19/2008,S-corp,,California,USA
1023,Stockton Hearing and Speech,4/30/2012,S-corp,11/8/2016,California,USA
1024,Parker Hearing Institute,9/16/2006,S-corp,7/22/2011,California,USA
1026,San Diego Hearing Center,12/12/2005,S-corp,8/21/2012,California,USA
1027,Pacific Hearing,2/4/2008,S-corp,,California,USA
1028,Pine River Corporation,4/18/2008,C-corp,3/18/2014,California,USA
1029,Best Hearing San Diego,3/30/2016,Sole Proprietor,,California,USA
1030,Riverview Hearing and Speech,1/28/2009,Sole Proprietor,,California,USA
1031,West Valley Hearing Center,1/24/2009,S-corp,4/1/2017,California,USA
1032,Eastpoint Audiology,3/4/2016,LLC,,Kentucky,USA
1033,Audiology Associates,6/5/2006,Unknown,11/8/2017,Louisiana,USA
1034,"Fire Audiological Services, PC",2/16/2009,Unknown,11/1/2010,North Dakota,USA
1035,Bluegrass Hearing Clinic,6/28/2008,Unknown,3/4/2015,Kentucky,USA
1036,Hearing & Speech Center,9/17/2006,Unknown,,Minnesota,USA
1037,Bookcliff Family Hearing Center,2/17/2009,Unknown,11/1/2010,Colorado,USA
1039,Chesapeake Hearing Centers,2/27/2006,S-corp,,Maryland,USA
1040,Central Oregon Audiology,1/12/2006,S-corp,12/31/2014,Oregon,USA
1041,Vibrant Hearing,4/17/2009,S-corp,,Montana,USA
1042,Hug Center for Hearing,10/13/2007,Unknown,3/13/2013,Michigan,USA
1043,Hearing Services of Kentucky,3/5/2007,Unknown,,Kentucky,USA
1044,American Hearing Solutions,2/18/2009,Unknown,8/1/2010,Ohio,USA
1045,Mid America Audiology Group,9/17/2006,Unknown,3/29/2018,Illinois,USA
1046,SoCal Hearing and Balance,2/18/2009,Sole Proprietor,11/1/2009,California,USA
1047,Palo Alto Hearing Center,2/18/2009,Sole Proprietor,1/4/2012,California,USA
1048,"Dearborn Hearing Care, LLC",3/11/2008,Unknown,10/25/2011,Indiana,USA
1049,Audiology & Hearing Center,9/16/2006,Unknown,,Kentucky,USA
1050,Southeast KY Audiology,2/19/2009,S-corp,11/22/2013,Kentucky,USA
1051,HEARINC ,9/20/2006,Unknown,12/31/2014,Ohio,USA
1052,"Audiology Associates, Inc.",10/20/2008,Unknown,5/4/2016,South Dakota,USA
1053,Hearing Health Center,9/11/2006,C-corp,,Michigan,USA
1054,HearCare Audiology,7/26/2008,Unknown,11/1/2012,Indiana,USA
1055,West Michigan Hearing Services,2/23/2008,LLC,3/14/2016,Michigan,USA
1056,Professional Hearing Center,2/19/2009,Unknown,8/1/2010,North Dakota,USA
1057,Audiology Associates of Southern Oregon,1/24/2009,S-corp,,Oregon,USA
1058,Huston Hearing and Audiology,2/26/2010,S-corp,9/11/2012,Washington,USA
1059,"Audiology Clinic, Inc.",9/12/2006,S-corp,3/15/2017,Washington,USA
1060,Central Maine Audiology,10/18/2008,Unknown,,Maine,USA
1061,Advanced Hearing and Balance Care,3/26/2006,Unknown,7/15/2015,Pennsylvania,USA
1062,American Institute of Balance,7/18/2006,Unknown,,Florida,USA
1063,Coastal Hearing Centers,2/26/2006,S-corp,,North Carolina,USA
1063,Coastal Hearing Centers,2/26/2006,S-corp,,South Carolina,USA
1064,Amherst Audiological Services,10/4/2005,Sole Proprietor,,New York,USA
1065,The Hearing Place,2/20/2009,Unknown,2/1/2009,West Virginia,USA
1066,,2/20/2009,Unknown,5/1/2009,Maryland,USA
1067,Dunshaw Hearing Aid Center,8/10/2005,Sole Proprietor,,New York,USA
1068,Alliance Speech & Hearing,2/20/2009,LLC,,New Jersey,USA
1069,Medical Gardens Hearing Center,9/16/2006,S-corp,,Florida,USA
1070,Aaron's Hearing Care,5/19/2005,S-corp,9/30/2015,Florida,USA
1071,Hudson Valley Audiology Center,6/28/2008,Unknown,,New York,USA
1072,NorthWest Hearing and Speech Center,2/20/2009,Unknown,,Oregon,USA
1073,Hearing Assessment Center LLC,4/26/2008,LLC,,Maryland,USA
1074,West Coast Hearing Clinic,9/11/2006,S-corp,3/4/2015,Washington,USA
1075,Aurora Audiology & Speech Associates,8/4/2005,S-corp,,New York,USA
1076,Hearing Plus Audiology,2/24/2006,S-corp,,Georgia,USA
1077,"Audiologic Solutions, Inc (ASINC)",11/25/2005,Sole Proprietor,4/7/2014,New York,USA
1078,Manna Audiology,5/1/2008,LLC,,North Carolina,USA
1080,"Hearing Associates, Inc",3/22/2009,Sole Proprietor,,Minnesota,USA
1080,"Hearing Associates, Inc",3/22/2009,Sole Proprietor,,Wisconsin,USA
1082,Stanford Hearing Aids,3/13/2009,Unknown,1/9/2013,South Dakota,USA
1083,"Professional Hearing Services, Inc.",3/12/2009,Unknown,10/18/2013,South Dakota,USA
1084,Battle Creek Hearing Services,3/13/2009,Unknown,7/1/2009,Michigan,USA
1086,Anderson Audiology,3/16/2009,S-corp,6/15/2017,Nevada,USA
1087,Sound Advice Hearing,3/16/2009,Unknown,,Idaho,USA
1088,Montezuma Hearing Clinic,7/14/2007,S-corp,,Utah,USA
1088,Montezuma Hearing Clinic,7/14/2007,S-corp,,Colorado,USA
1089,Advanced Hearing and Balance Specialists,7/20/2007,Unknown,3/20/2013,Nevada,USA
1089,Advanced Hearing and Balance Specialists,7/20/2007,Unknown,3/20/2013,Utah,USA
1090,Arizona Audiology & Hearing Inc.,9/17/2006,Unknown,8/17/2015,Arizona,USA
1091,"Audiology Associates of Salt Lake City, Inc.",9/16/2006,Unknown,11/27/2012,Utah,USA
1092,Arizona Hearing Specialists,9/21/2008,Unknown,10/7/2015,Arizona,USA
1093,Allen Hearing Clinic,2/27/2006,Unknown,9/27/2013,Texas,USA
1094,Texas ENT and Allergy,5/31/2008,Unknown,3/21/2011,Texas,USA
1095,Hearing Health Care Inc.,10/22/2007,Unknown,,Oklahoma,USA
1096,Dr. Lemay's Office,9/16/2006,Unknown,1/28/2014,Nevada,USA
1098,Micken Hearing,3/17/2009,Unknown,8/1/2010,Montana,USA
1099,"Moore Hearing, PC",7/13/2007,Unknown,3/10/2016,Montana,USA
1100,"Audiology, Inc.",1/12/2008,S-corp,,Arizona,USA
1101,"Affiliated Audiology Consultants, Inc.",4/26/2008,S-corp,,Arizona,USA
1102,Hear Joy,3/18/2009,Unknown,5/1/2009,Texas,USA
1103,Family Audiology & Hearing Services,3/18/2009,Unknown,4/1/2009,Utah,USA
1104,East Valley Hearing Center,9/16/2006,Unknown,3/15/2017,Arizona,USA
1105,Hearing Center of Sierra Vista,4/1/2015,LLC,,Arizona,USA
1106,"Hearing Rehabilitation Center, Inc.",1/16/2006,Unknown,9/1/2016,Colorado,USA
1107,Echo Hearing Center,5/17/2005,Unknown,2/10/2012,Colorado,USA
1108,Hearing Solution Centers,5/31/2008,Unknown,,Oklahoma,USA
1109,Red Rose Hearing Center,3/18/2009,Sole Proprietor,,Pennsylvania,USA
1110,Advanced Hearing Technologies,3/20/2008,C-corp,,Florida,USA
1111,"Audiologist & Associates, Hill Hear Better",3/18/2009,LLC,1/9/2015,Ohio,USA
1111,"Audiologist & Associates, Hill Hear Better",3/18/2009,LLC,1/9/2015,Indiana,USA
1112,"Hearing HealthCare, Inc.",3/13/2009,C-corp,,Maryland,USA
