"Project ID","Project PI: Full Name","OCTRI Project Status Change Date","Project Long Title","OCTRI Project Status","CTRC Status","Project Funding ID","Funding Award: Funding Award ID","Funding Award: Funding Source Name","Funding Award: Activity Type","Funding Award: Funding Type","Funding Award: Funding Status","Funding Award: Record Type","Funding Award: Reason OGA Not Set Up","Funding Award: Award Owning Org","Funding Award: OGA Award Number","Funding Award: Originating Sponsor","Funding Award: Originating Sponsor Type"
"PRJ-5463","Sarah Karalunas","2/22/2017","Neurophysiological Attention Test (NAT) for Objective Assessment of ADHD","Approved Post-IRB","N/A No CTRC Services","ProjFund-5838","FA-10274","Think Now, Inc.","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Clinical Psychology","APSYC0231","DHHS NIH Natl Inst of Mental Hlth","Federal"
"PRJ-5365","Sarah Karalunas","2/22/2016","Neurophysiological mechanisms of cognitive and emotional control in ADHD","Approved Pre-IRB","N/A No CTRC Services","ProjFund-5362","FA-09510","National Institutes of Health - unknown institute","K23","Federal NIH","Pre-Award","Non-OGA Award","","","","",""
"PRJ-5231","Bernnard Fox","6/24/2015","Improving therapy for HNSCC: Combination of STING-agonist and an Autophagosome-based Vaccine","Approved Non-IRB","N/A No CTRC Services","ProjFund-5172","FA-06500","DHHS NIH Natl Ctr for Advancing Translational Sciences","UL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0901","",""
"PRJ-3288","Bernnard Fox","4/30/2013","The roles of tumor immunogenicity and the adjuvant GM-CSF in the induction of regulatory T cells in multiple tumor vaccination adoptive therapies","Complete","N/A No CTRC Services","ProjFund-3405","FA-04632","DHHS NIH Natl Ctr for Rsch Resources","TL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0602","",""
"PRJ-5898","Katherine Pope","7/13/2017","[Community] Live Young Weight Management Program","Approved Non-IRB","N/A No CTRC Services","ProjFund-5982","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5538","Merav Sendowski","5/25/2016","Efficacy and Safety of Rivaroxaban Prophylaxis compared with Placebo in Ambulatory Cancer Patients Initiating Systemic Cancer Therapy and at High Risk for Venous Thromboembolism","Withdrawn","Pending","ProjFund-5628","FA-09481","Janssen Research & Development LLC","Not Applicable","Industry","Pre-Award","Non-OGA Award","","","","",""
"PRJ-5404","Alexey Danilov","5/19/2017","Gilead 1757 Phase I ONO/GS-4059 + Idelalisib or Entospletinib","Approved Pre-IRB","Pending","ProjFund-5646","FA-09918","Gilead Sciences Inc","Not Applicable","Industry","Awarded","OGA Award","","SM.Knight CHM Clin Trials","ACNCR0708","",""
"PRJ-5294","Alexey Danilov","6/17/2016","An investigation of multiple potential prognostic factors in Mantle Cell Lymphoma","Approved Post-IRB","N/A No CTRC Services","ProjFund-5262","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5350","Alexey Danilov","2/17/2016","A Phase II, Open-Label Study Of Obinutuzumab Plus Bendamustine (BG) In Patients With Previously Untreated Chronic Lymphocytic Leukemia (CLL)","Approved Post-IRB","N/A No CTRC Services","ProjFund-5520","FA-09093","Genentech Inc","","Industry","Awarded","OGA Award","","SM.Knight CHM Clin Trials","ACNCR0643","",""
"PRJ-6049","Alexey Danilov","12/1/2017","A Phase I/II study of Syk inhibitor entospletinib (GS-9973) in combination with obinutuzumab in patients with relapsed/refractory chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL) and B-cell malignancies","Approved Post-IRB","N/A No CTRC Services","ProjFund-6439","FA-11882","Gilead Sciences Inc","","Industry","Pre-Award","Non-OGA Award","","","","",""
"PRJ-4488","Dmitri Rozanov","5/27/2015","Validation of the oxidative stress treatment in vivo in established breast cancer xenograft mouse model","Post Termination","N/A No CTRC Services","ProjFund-4718","FA-08412","DHHS NIH Natl Ctr for Advancing Translational Sciences","Strategic investment","Federal NIH","Awarded","Non-OGA Award","General Ledger Account","","","",""
"PRJ-5306","Judy Barkal","10/12/2015","KCI NLP data request","Withdrawn","N/A No CTRC Services","ProjFund-5282","FA-09338","OHSU Knight Cancer Institute","Need to Determine","Academic Institution/Univ","Pre-Award","Non-OGA Award","","","","",""
